query_string,frame_path,timestamp,score
green guy ,frames\frame_000055.jpg,52.761,0.2651
green guy ,frames\frame_000058.jpg,55.639,0.2601
green guy ,frames\frame_000084.jpg,80.581,0.2595
green guy ,frames\frame_000082.jpg,78.662,0.2421
green guy ,frames\frame_000078.jpg,74.825,0.2375
green guy,frames\frame_000051.jpg,51.0,0.248
green guy,frames\frame_000049.jpg,49.0,0.2438
green guy,frames\frame_000000.jpg,0.0,0.2405
green guy,frames\frame_000041.jpg,41.0,0.2337
green guy,frames\frame_000045.jpg,45.0,0.2301
green ,frames\frame_000049.jpg,49.0,0.2327
green ,frames\frame_000076.jpg,76.0,0.2287
green ,frames\frame_000051.jpg,51.0,0.2279
green ,frames\frame_000000.jpg,0.0,0.2234
green ,frames\frame_000017.jpg,17.0,0.2232
person carrying a bag,frames\frame_000000.jpg,0.0,0.2931
person carrying a bag,frames\frame_000041.jpg,41.0,0.2738
person carrying a bag,frames\frame_000017.jpg,17.0,0.2719
person carrying a bag,frames\frame_000085.jpg,85.0,0.2675
person carrying a bag,frames\frame_000045.jpg,45.0,0.2604
person carrying a bag near the entrance of building,frames\frame_000000.jpg,0.0,0.3024
person carrying a bag near the entrance of building,frames\frame_000039.jpg,39.0,0.2959
person carrying a bag near the entrance of building,frames\frame_000017.jpg,17.0,0.2871
person carrying a bag near the entrance of building,frames\frame_000041.jpg,41.0,0.2792
person carrying a bag near the entrance of building,frames\frame_000085.jpg,85.0,0.2733
person carrying a bag near the entrance of building,frames\frame_000000.jpg,0.0,0.3024
person carrying a bag near the entrance of building,frames\frame_000039.jpg,39.0,0.2959
person carrying a bag near the entrance of building,frames\frame_000000.jpg,0.0,0.3024
person carrying a bag near the entrance of building,frames\frame_000039.jpg,39.0,0.2959
person carrying the bag near the entrance,frames\frame_000000.jpg,0.0,0.2955
person carrying the bag near the entrance,frames\frame_000017.jpg,17.0,0.2825
person carrying the bag near the entrance,frames\frame_000041.jpg,41.0,0.2758
person carrying the bag near the entrance,frames\frame_000039.jpg,39.0,0.2632
person carrying the bag near the entrance,frames\frame_000085.jpg,85.0,0.2596
person carrying the bag near the entrance,frames\frame_000000.jpg,0.0,0.2955
person carrying the bag near the entrance,frames\frame_000017.jpg,17.0,0.2825
person carrying the bag near the entrance,frames\frame_000041.jpg,41.0,0.2758
person carrying the bag near the entrance,frames\frame_000039.jpg,39.0,0.2632
person carrying the bag near the entrance,frames\frame_000085.jpg,85.0,0.2596
person carrying the bag near the entrance,frames\frame_000000.jpg,0.0,0.2955
person carrying the bag near the entrance,frames\frame_000017.jpg,17.0,0.2825
person carrying the bag near the entrance,frames\frame_000041.jpg,41.0,0.2758
person carrying the bag near the entrance,frames\frame_000039.jpg,39.0,0.2632
person carrying the bag near the entrance,frames\frame_000000.jpg,0.0,0.2955
person carrying the bag near the entrance,frames\frame_000017.jpg,17.0,0.2825
person carrying the bag near the entrance,frames\frame_000041.jpg,41.0,0.2758
person carrying the bag near the entrance,frames\frame_000039.jpg,39.0,0.2632
person carrying the bag near the entrance,frames\frame_000000.jpg,0.0,0.2955
person carrying the bag near the entrance,frames\frame_000017.jpg,17.0,0.2825
person carrying the bag near the entrance,frames\frame_000041.jpg,41.0,0.2758
person carrying the bag near the entrance,frames\frame_000039.jpg,39.0,0.2632
person carrying the bag near the entrance,frames\frame_000000.jpg,0.0,0.2955
person carrying the bag near the entrance,frames\frame_000017.jpg,17.0,0.2825
person carrying the bag near the entrance,frames\frame_000041.jpg,41.0,0.2758
person carrying the bag near the entrance,frames\frame_000039.jpg,39.0,0.2632
motorcycle riding on the road,frames\frame_000045.jpg,45.0,0.307
motorcycle riding on the road,frames\frame_000040.jpg,40.0,0.2945
motorcycle riding on the road,frames\frame_000041.jpg,41.0,0.2825
motorcycle riding on the road,frames\frame_000039.jpg,39.0,0.2586
motorcycle riding on the road,frames\frame_000045.jpg,45.0,0.307
motorcycle riding on the road,frames\frame_000040.jpg,40.0,0.2945
motorcycle riding on the road,frames\frame_000041.jpg,41.0,0.2825
motorcycle riding on the road,frames\frame_000039.jpg,39.0,0.2586
motorcycle riding on the road,frames\frame_000000.jpg,0.0,0.2309
